구분,소재지도로명주소,소재지지번주소,취급물품,관리부서명,관리부서 전화번호,데이터기준일자
구두수선대,"서울특별시 강남구 선릉로 404, 눈빌딩 앞","서울특별시 강남구 대치4동 907-16, 눈빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 언주로 738, 인피니티 앞","서울특별시 강남구 논현2동 91-27, 인피니티 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 329, 삼흥빌딩 앞","서울특별시 강남구 역삼1동 705-10, 삼흥빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 107, 한도빌딩 앞","서울특별시 강남구 역삼1동 822-3, 한도빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 학동로 339, 새한빌딩 앞","서울특별시 강남구 논현2동 118-17, 새한빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 삼성로 212, 은마아파트정문 앞","서울특별시 강남구 대치2동 316, 은마아파트정문 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 학동로 110, 세원빌딩 앞","서울특별시 강남구 논현1동 122, 세원빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,서울특별시 강남구 학동로 158,서울특별시 강남구 논현동 127-2,구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 남부순환로 3032, 미도아파트101동 앞","서울특별시 강남구 대치1동 511, 미도아파트 101동 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 328, 동우빌딩 앞","서울특별시 강남구 역삼2동 708-1, 동우빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 151, 역삼하이츠빌딩 앞","서울특별시 강남구 역삼1동 642-24, 역삼하이츠빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 534, 글래스타워 앞","서울특별시 강남구 대치2동 946-10, 글래스타워 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로445, 엠넷빌딩 앞","서울특별시 강남구 청담동 97-1, 엠넷빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 선릉로 762, 영종빌딩 앞","서울특별시 강남구 청담동 1, 영종빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 132, 한독약품 앞","서울특별시 강남구 역삼1동 735, 한독약품 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 언주로 405, 성림상가 앞","서울특별시 강남구 역삼2동 730-5, 성림상가 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 봉은사로 112길 12, 새마을금고연합회 앞","서울특별시 강남구 삼성1동 165-3, 새마을금고연합회 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 125, 농협신사동지점 앞","서울특별시 강남구 신사동 514-7, 농협신사동지점 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 삼성로 238, 태원리치타운상가 앞","서울특별시 강남구 대치2동 989, 태원리치타운상가 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 논현로 803, 세우관빌딩 앞","서울특별시 강남구 신사동 563-37, 세우관빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 학동로 609, 삼익아파트 1동 앞","서울특별시 강남구 청담동 134-22, 삼익아파트 1동 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 압구정로 314, 요한빌딩 앞","서울특별시 강남구 신사동 639, 요한빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 110, 캠브리지빌딩 앞","서울특별시 강남구 역삼1동 825-18, 캠브리지빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 120, 청호빌딩 앞","서울특별시 강남구 논현1동 3-2, 청호빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 압구정로 214, 현대종합상가 앞","서울특별시 강남구 신사동 615, 현대종합상가 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 410, 금강타워 앞","서울특별시 강남구 대치4동 889-13, 금강타워 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 623, 삼성빌딩 앞","서울특별시 강남구 삼성1동 170-8, 삼성빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 압구정로 343, 갤러리아백화점 앞","서울특별시 강남구 압구정동 494, 갤러리아백화점 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 개포로 225, 동진빌딩 앞","서울특별시 강남구 개포4동 1258-2, 동진빌딩 앞 ",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 삼성로 111길 8, 힐스테이트상가 앞","서울특별시 강남구 삼성2동 50, 힐스테이트상가 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 강남대로 446, W빌딩 앞","서울특별시 강남구 역삼1동 814-1, W빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 남부순환로 2738, 상일빌딩 앞","서울특별시 강남구 도곡2동 411-20, 상일빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 언주로 710, 성암빌딩 앞","서울특별시 강남구 논현2동 114, 성암빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도곡로 179, 카센터 앞","서울특별시 강남구 역삼동 799-20, 카센터 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 학동로 445, 우리들병원 앞","서울특별시 강남구 청담동 47-4, 우리들병원 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 421, 암천빌딩 앞","서울특별시 강남구 삼성2동 142-46, 암천빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 언주로30길 10, 현대비전21 앞","서울특별시 강남구 도곡2동 467-19, 현대비전21 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 107, 동방항공 앞","서울특별시 강남구 신사동 501-2, 동방항공 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 선릉로 514, 성원타워 앞","서울특별시 강남구 삼성2동 141-17, 성원타워 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 145, 고운빌딩 앞","서울특별시 강남구 역삼1동 646-17, 고운빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 논현로 38, 상가 앞","서울특별시 강남구 개포4동 1194-6, 상가 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 선릉로 301, 한티역8번 출구 앞","서울특별시 강남구 역삼2동 756-3, 한티역8번 출구 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 206, 일월빌딩 앞","서울특별시 강남구 역삼2동 718-1, 일월빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 논현로 319, 정유빌딩 앞","서울특별시 강남구 역삼1동 797-22, 정유빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 강남대로 478, 대남빌딩 앞","서울특별시 강남구 논현1동 200, 대남빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 선릉로 30, 개포빌딩 앞","서울특별시 강남구 개포2동 167-7, 개포빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 압구정로 110, 화인빌딩 앞","서울특별시 강남구 신사동 528-4, 화인빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 1길 42, 동일빌딩 앞","서울특별시 강남구 역삼1동 619-18, 동일빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 201, ING타워 앞","서울특별시 강남구 역삼1동 679-5, ING타워 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로218, 나래빌딩 앞","서울특별시 강남구 역삼2동 719-1, 나래빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 영동대로 4길 10, 공무원아파트 9단지 앞","서울특별시 강남구 일원본동 688, 공무원아파트 9단지 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 선릉로 667, 요현빌딩 앞","서울특별시 강남구 논현2동 242-29, 요현빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 선릉로 132길 28, 청담래미안아파트 102동 앞","서울특별시 강남구 청담동 42-1, 청담래미안아파트 102동 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 327, KMD빌딩 앞","서울특별시 강남구 신사동 652-16, KMD빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 영동대로 220, 상지빌딩 앞","서울특별시 강남구 대치1동 65, 상지빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 강남대로 524, 건일빌딩 앞","서울특별시 강남구 논현1동 143-15, 건일빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 151, 청수복국 앞","서울특별시 강남구 신사동 539-8, 청수복국 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 50길 31, 삼풍주택 앞","서울특별시 강남구 논현2동 100, 삼풍주택 앞 ",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 203, 대동빌딩 앞","서울특별시 강남구 신사동 587-21, 대동빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 영동대로 510, 삼성빌딩 앞","서울특별시 강남구 삼성1동 168, 삼성빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 압구정로 150, 신운빌딩 앞","서울특별시 강남구 신사동 574-3, 신운빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 446, 경원하이트첼 앞","서울특별시 강남구 청담동 5, 경원하이트첼 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 626, 스타디아빌딩 앞","서울특별시 강남구 대치2동 997-4, 스타디아빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 논현로 429, C&C빌딩 앞","서울특별시 강남구 역삼1동 738-9, C&C 빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 논현로 509, 송암빌딩 앞","서울특별시 강남구 역삼1동 642-10, 송암빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 삼성로 401, 신화코리아빌딩 앞","서울특별시 강남구 대치4동 903-30, 신화코리아빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 204, 강남을지병원 앞","서울특별시 강남구 논현2동 59-4, 강남을지병원 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 역삼로 134, MS빌딩 앞","서울특별시 강남구 역삼1동 834-8, MS빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 선릉로 640, 알파문구 앞","서울특별시 강남구 삼성2동 34-7, 알파문구 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 봉은사로 203, 하나은행 앞","서울특별시 강남구 논현1동 234-27, 하나은행 앞 ",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 강남대로 238, 세현빌딩 앞","서울특별시 강남구 도곡1동 953-11, 세현빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도곡로 139, 잔디로빌딩 앞","서울특별시 강남구 역삼1동 840-15, 잔디로빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 305, 동훈타워 앞","서울특별시 강남구 역삼1동 701-10, 동훈타워 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 영동대로 430, 준&빌딩 앞","서울특별시 강남구 대치2동 995-8, 준&빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 강남대로 600, 동신빌딩 앞","서울특별시 강남구 논현1동 17, 동신빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 언주로 651, 한국우편사업지원단 앞","서울특별시 강남구 논현2동 210-1, 한국우편사업지원단 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 논현로 524, 청파빌딩 앞","서울특별시 강남구 역삼1동 668-1, 청파빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 514, 삼흥빌딩 앞","서울특별시 강남구 대치2동 944, 삼흥빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도곡로 445, 현민빌딩 앞","서울특별시 강남구 대치4동 941-26, 현민빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 삼성로 546, 백영빌딩 앞","서울특별시 강남구 삼성1동 151-2, 백영빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,서울특별시 강남구 개포로21길 7. 포이빌딩 앞,"서울특별시 강남구 개포4동1229-3, 포이빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,서울특별시 강남구 남부순환로 2936. 원플러스상가 앞,"서울특별시 강남구 대치1동 507, 원플러스상가 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 119, 대호빌딩 앞","서울특별시 강남구 역삼1동 649-14, 대호빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 테헤란로 513, 하나은행 앞","서울특별시 강남구 삼성1동 158-23, 하나은행 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 학동로 306, 거봉빌딩 앞","서울특별시 강남구 논현2동 238-2, 거봉빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 봉은사로 613, 캡스 앞","서울특별시 강남구 삼성1동 108-11, 캡스 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 언주로 710,서울특별시 강남구 논현동 114,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 언주로 702,서울특별시 강남구 논현동 115-13,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 542,서울특별시 강남구 논현동 142,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 492,서울특별시 강남구 논현동 165-8,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 도산대로114,서울특별시 강남구 논현동 2-15,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 도산대로 128,서울특별시 강남구 논현동 4-15,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 562,서울특별시 강남구 논현동 49-17,타로,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 남부순환로 2947 대원빌딩 앞,서울특별시 강남구 대치동 599,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 테헤란로 422,서울특별시 강남구 대치동 890-20,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 도곡로 405,서울특별시 강남구 대치동 938,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 삼성로 301,서울특별시 강남구 대치동 941-18,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 언주로 30길 57,서울특별시 강남구 도곡동 467-17,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 262(양재캠코 앞),서울특별시 강남구 도곡동 949-3,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 밤고개로1길 10,서울특별시 강남구 수서동 713,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 광평로56길 8-13,서울특별시 강남구 수서동 725,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 도산대로 111,서울특별시 강남구 신사동 513-3,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 선릉로 93길 40,서울특별시 강남구 역삼동 704-45,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 432,서울특별시 강남구 역삼동 815,타로,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 432,서울특별시 강남구 역삼동 815,타로,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 388,서울특별시 강남구 역삼동 825-13,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 374,서울특별시 강남구 역삼동 826,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 374,서울특별시 강남구 역삼동 826,가방,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 358,서울특별시 강남구 역삼동 826-14,도장,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 78길 35,서울특별시 강남구 역삼동 827-68,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 강남대로 324,서울특별시 강남구 역삼동 832-5,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 광평로19길 15(일원역 1번출구),서울특별시 강남구 일원동 716,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 선릉로 806,서울특별시 강남구 청담동 86,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,"서울특별시 강남구 압구정로32길 38(현대맨션 3동 앞, 압구정cgv 뒤)",서울특별시 강남구 신사동 604,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 테헤란로 152(강남파이낸스센터 뒤),서울특별시 강남구 역삼동 737,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 테헤란로 202 (금융결제원 뒤),서울특별시 강남구 역삼동 717,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 언주로 508(상록회관 뒤),서울특별시 강남구 역삼동 701,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 언주로 508(상록회관 뒤),서울특별시 강남구 역삼동 701,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 언주로 508(상록회관 뒤),서울특별시 강남구 역삼동 701,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 테헤란로83길 12(제일주차장 앞),서울특별시 강남구 삼성동 158-5,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 남부순환로395길 10(선경3차아파트 앞),서울특별시 강남구 대치동 602,먹거리,건설관리과,02-3423-6535,2021-12-01
허가노점,서울특별시 강남구 테헤란로69길 16,서울특별시 강남구 삼성동 143,먹거리,건설관리과,02-3423-6535,2021-12-01
